"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2541","get started link","webkit","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","458","get started link","chromium","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","949","has title","chromium","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","958","get started link","firefox","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","1333","has title","firefox","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","6214","has title","webkit","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
