"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1696","get started link","firefox","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","469","get started link","chromium","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","5992","get started link","webkit","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
